,VALUE SENTIMEN,tanggal,pengguna,isi teks,data_bersih
28,0,2022-04-24T23:00:16.000Z,Bukan Arчα Duta™,"@blackrocksz @hafiadii @PartaiSocmed UU nomor berapa yg mengatur masa jabatan Presiden??

Emang ada??",uu nomor atur jabat presiden emang
29,0,2022-06-28T22:59:28.000Z,dappoo,"@bobby_risakotta Aku masih tetep ingat.
Dulu saat masih jadi Gubernur ada yang omong.
Bila nanti jadi Presiden gampang mengatasi banjir Jakarta.
Dan ini sudah hampir habis masa jabatan periode ke 2.

Ternyata anda bilang Jakarta masih banjir.
Berarti anda nyindir beliau ya?",gubernur omong presiden gampang atas banjir jakarta habis jabat periode jakarta banjir nyindir beliau
30,0,2022-06-17T00:00:01.000Z,Kompasiana,"@bocahningrat00 @idhumhii @Dennysiregar7 trus kalo bener gtu, kenapa mesti repot2 nyinyir? toh udah beres bentar lg lepas masa jabatan. kemungkinan jd presiden tipis. Kok sampe segitunya pake hashtag segala",bener mesti repot nyinyir beres bentar lepas jabat presiden tipis segitunya pakai hashtag
31,0,2022-06-13T15:14:53.000Z,onom,"@Bpribas1 @PDemokrat @AgusYudhoyono @PKSejahtera @NasDem Fabrikasi isu hoax penundaan pemilu, perpanjangan masa jabatan dan tiga periode diungkap oposisi seolah sebagai penyebab, padahal itu sejatinya adalah justifikasi utk pergerakan. Pehobi demo, penikmat anarkisme dan provokator yg tidak memahami pentingnya hukum dalam berdemokrasi.",fabrikasi isu hoax tunda milu panjang jabat tiga periode ungkap oposisi sebab sejati justifikasi gera hobi demo nikmat anarkisme provokator paham hukum demokrasi
32,0,2022-06-12T14:18:16.000Z,Bekan," @PDemokrat @AgusYudhoyono @PKSejahtera @NasDem Kita bukan kelompok yang frustasi dan dendam dengan hasil kontestasi demokrasi; dan sejatinya anti demokrasi, C36namun memanfaatkan isu hoax penundaan pemilu, perpanjangan masa jabatan dan tiga periode sebagai kesempatan yang harus dimanfaatkan untuk melampiaskan syahwat kekuasaan.-",kelompok frustasi dendam hasil kontestasi demokrasi sejati anti demokrasi cnamun manfaat isu hoax tunda milu panjang jabat tiga periode sempat manfaat lampias syahwat kuasa
33,0,2022-06-17T08:23:22.000Z,Kantahbpn,@BYTriantono @CNNIndonesia Ntar belum selesai masa jabatan nya ditinggal buat nyalon presiden... Like father like son,selesai jabat tinggal nyalon presiden like ayah like son
34,0,2022-06-28T16:22:08.000Z,Penjaga Jokowi,"@cakimiNOW Jadi nyaCapres cak????
Jokowi tiga periode Gak jadi Tah?????
Cc
@yennywahid https://t.co/dphEy6Rx17",nyacapres cak jokowi tiga periode tah cc httpstcodpheyrx
35,0,2022-06-26T00:05:11.000Z,kutu kupret,"@cakimiNOW Koar2 tiga periode jabatan presiden
Koar2 penundaan pemilu
Begitu timbul keributan cuma cengengesan...
DJANCOEK...!!!",koar tiga periode jabat presiden koar tunda milu timbul ribut cengengesan djancoek
36,0,2022-06-23T00:07:55.000Z,kutu kupret,"@carsonrmnf Yhh masa jabatan presiden, di hatiku",yhh jabat presiden hati
37,0,2022-06-28T06:12:36.000Z,#AuditKPU,"@CeciliaSuwanda1 @SantorinisSun Dia bilang masa jabatan presiden 3 X mencederai demokrasi,pdhl dia dulu berambisi menjadi wapres untuk ke 3 Xnya tp terhalang uu hingga uunya mau dirobah.",jabat presiden x cedera demokrasipdhl ambisi wapres xnya halang uu uunya dirobah
38,0,2022-06-20T07:47:04.000Z,Percek panntok,@CEMzNUK4bAAFAsb @AliNgabalinNew Omongan jusuf kalla itu sama aja jilad ludah sendiri. Setelah pak jokowi jdi presiden yg jdi wakil nya dia duluan yg lain ga di kasih..setelah masa jabatan nya abis dia mau nambah lg satu periode saking nafsu ny jdi wapres. Klu mau ngomong ngaca dulu,omong jusuf kalla jilad ludah jokowi presiden wakil duluan kasihsetelah jabat habis tambah periode saking nafsu wapres ngomong kaca
39,0,2022-06-18T00:17:14.000Z,Petani Tanpa Subsidi,"@ciadels @bebek_meong udah saatnya ci, masa lu jomblo kek masa jabatan presiden ci",ci jomblo jabat presiden ci
40,0,2022-06-20T00:04:09.000Z,kutu kupret,@Cintada16 @DivHumas_Polri Di sinilah dibutuhkan presiden seperti Jokowi. Sayang Jokowi tidk bisa tiga periode,butuh presiden jokowi sayang jokowi tidk tiga periode
41,0,2022-06-02T06:56:13.000Z,Jawa Pos Radar Solo,@CNNIndonesia Banyak yang berhalusinasi dan berprasangka negatif bilang pak Jokowi mau tiga periode . Kirain pak Jokowi itu orang bodoh mau maunya ikut pola pikir kalian yang penuh iri hati itu ? Beliau pasti akan berhenti dari hiruk pikuk politik di saat beliau di puncak masa sukses nya ...,halusinasi prasangka negatif jokowi tiga periode kirain jokowi orang bodoh mau pola pikir penuh iri hati beliau henti hiruk pikuk politik beliau puncak sukses
42,0,2022-06-19T00:11:44.000Z,IntanAyuArimbi,@CNNIndonesia Hidup Jokowi tiga periode+perpanjangan masa jabatan.,hidup jokowi tiga periodeperpanjangan jabat
43,0,2022-06-18T00:07:39.000Z,kutu kupret,"@CNNIndonesia Jika survei sudah keluar dan tingkat kepuasan publik meningkat terhadap Jokowi
Itu artinya Jokowi ingin tiga periode.
Jikalau tidak ingin tiga periode untuk apa survei itu di pesan....?

Logika sederhana",survei tingkat puas publik tingkat jokowi jokowi tiga periode tiga periode survei pesan logika sederhana
44,0,2022-04-17T06:20:50.000Z,Himpunan Mahasiswa Jurusan Manajemen,"@CNNIndonesia Nikmatilah hidupmu yg semakin ribet, salam tiga periode, hidup jokowi pemimpin merakyat...",nikmat hidup ribet salam tiga periode hidup jokowi pimpin rakyat
45,0,2022-04-18T11:24:02.000Z,Voidotid,@CNNIndonesia Org yg dibahas cm masa jabatan kok. Gak ada hubungannya sama memperistri adik presiden,orang bahas cm jabat hubung istri adik presiden
46,0,2022-06-17T23:34:02.000Z,MpokMae,"@CNNIndonesia Rakyat Wajib Sadar!
Gagasan Jokowi Tiga Periode adalah Gagasan Jokowi yang dikerjakan para bawahannya.
Dan kehendak ini tidak akan berhenti sampai batas tidak mungkin lagi mengajukan Jokowi sebagai Capres.
#Tolak3PeriodeJokowi",rakyat wajib sadar gagas jokowi tiga periode gagas jokowi bawah hendak henti batas aju jokowi capres tolakperiodejokowi
47,0,2022-06-17T02:42:19.000Z,Ron's,@CNNIndonesia Sementara masih ada juga yg mengkampanyekan TIGA PERIODE untuk Jokowi https://t.co/ZkQHEfNIkN,kampanye tiga periode jokowi httpstcozkqhefnikn
48,0,2022-06-20T00:41:31.000Z,Kanwil BPN Papua,@collegemenfess Betah amat tiga periode. Pak Jokowi aja.. eh gajadi deh,betah tiga periode jokowi eh deh
49,0,2022-06-17T09:06:47.000Z,Kantah Kabupaten Bangka,"@Cupidlucky2 @Kimberley20101 Konyol banget tuh orang, dia nuduh Jokowi berambisi tiga periode, tapi secara gak sadar dia juga melihatkan sedang berambisi ingin berkuasa.  Sumpah sakit perut nahan tawa..",konyol banget orang nuduh jokowi ambisi tiga periode sadar lihat ambisi kuasa sumpah sakit perut nahan tawa
50,0,2022-05-27T03:00:44.000Z,suaranasional,"@davidemeraldo @MauUlun @AnandaHalomoan1 Gue pake logika elo ya..

Kalo gitu nanti yg bayar utang indonesia yang dibuat di era jokowi siapa dong?

Utang indonesia bertambah 4000 triliun lebih di era jokowi

Bisa ga sebelom habis masa jabatan jokowi lunasi utang yg dia buat?

Jangan presiden selanjutnya yg lunasi

Gmana?",pakai logika bayar utang indonesia era jokowi utang indonesia tambah triliun era jokowi bom habis jabat jokowi lunas utang presiden lunas gmana
51,0,2022-06-17T16:17:38.000Z,Aisyah Nur Khazanah,"@ddggmmbbkk Relawan cukup diam saja .
atau jangan jangan sudah disusupi kadrun?

Mungkinkah ada titipan dari pihak ke tiga untuk terus meramaikan issue 3 periode .
padahal dr Pakdhe JOkowi sendiri sudah jelas menyampaikan ""Tidak"" 

dan akan taat pada konstitusi.",rawan diam susup kadrun titip tiga ramai issue periode pakdhe jokowi taat konstitusi
52,0,2022-06-16T15:44:49.000Z,Elisa Koraag,"@democrazymedia Harus d tangkap nih ,karena melanggar konstitusi UU masa jabatan presiden .",tangkap langgar konstitusi uu jabat presiden
53,0,2022-06-16T13:44:51.000Z,Arjuna,"@democrazymedia Jokowi lebih pintar dari pak Amien contoh nya di saat kegaduhan opini politik menolak Tiga periode,  Presiden reshuffle kabinet dengan mengangkat orang yang mendukung Jokowi 3 periode untuk menjadi menteri apa ini bukan persiapan... untuk ke jalur itu ?",jokowi pintar amien contoh gaduh opini politik tolak tiga periode presiden reshuffle kabinet angkat orang dukung jokowi periode menteri siap jalur
54,0,2022-06-21T05:45:43.000Z,Arif Naleraja,"@democrazymedia Sinyal berarti Jokowi jadi tiga periode, wahhh ga bener nihh... mereka lempar opini sedangkan yang lain lagi mempersiapkan konsep 3 periode apa perlu pakai #menolaktigaperiode lagi nihh...",sinyal jokowi tiga periode wahhh bener nihh lempar opini konsep periode pakai menolaktigaperiode nihh
55,0,2022-06-28T07:30:00.000Z,VOA Indonesia,"@Dennysiregar7 Saatnya pak Jokowi jadi negarawan,jangan mau di ojok2 tiga periode",jokowi negarawanjangan ojok tiga periode
56,0,2022-06-28T03:10:57.000Z,gandi sihombing,"@detikcom Ada 2 poin inti :
1. Ketua dan Wakil MK hanya menjabat 5 tahun maksimal 2 periode (seperti masa jabatan presiden)
2. Masa tugas Hakim Konstitusi adalah maksimal 15 tahun &amp; tidak lebih dari usia 70 tahun.
Ingat 2 hal berbeda &amp; jangan salah persepsi mengarahkan ke asumsi bias.",poin inti ketua wakil mk jabat maksimal periode jabat presiden tugas hakim konstitusi maksimal usia beda salah persepsi arah asumsi bias
57,0,2022-06-27T13:36:20.000Z,Tri Putri R. ♥️,@detikcom Biar gak kelamaan dari akhir masa jabatan. Siapa tau masih “laku” dan dilamar jadi presiden ke 2077,jabat laku lamar presiden
58,0,2022-06-24T02:57:33.000Z,Kureta ID,"@detikcom Kalau pejabat menghilangkan kehormatannya bebas dan dapat Bonus.
Kalau habis masa jabatan Presiden dan wakil presiden dimintai tanggungvjawabnya dan harus bertanggung jawab jika ada salah. Pantas kalau di gitukan
Harus sepadan Dong
Jangan bawah aja yang main dihukum. Atas bebas",jabat hilang hormat bebas bonus habis jabat presiden wakil presiden tanggungvjawabnya tanggung salah gitukan padan main hukum bebas
59,0,2022-06-27T09:12:16.000Z,Jambrutttty,"@detikcom Menuju tangan besi. 
Jokowi tiga periode",tangan besi jokowi tiga periode
60,0,2022-06-02T04:46:03.000Z,LaNyalla Academia {LNM},@detikcom sekalian terkait masa jabatan presiden,kait jabat presiden
61,0,2022-06-27T06:31:21.000Z,fajar online,@Dimas_Wbw @olland72 @bachrum_achmadi Utamanya Kaitan IKN...menjadi Logis ketika bbrp pihak menghendaki Pak Jokowi tiga periode....,utama kait iknmenjadi logis jokowi tiga periode
62,0,2022-06-13T08:05:14.000Z,populis_id,"@dioxysus Selama tiga periode? Ngalahin masa jabatan presiden, dong.",tiga periode kalah jabat presiden
63,0,2022-06-26T07:16:03.000Z,Njuwanto Ndex Ndex,@ekowboy2 @mohmahfudmd Kalau sampai jokowi setuju mau tiga periode biarlah ak jadi kadrun mahkluk paling dongok sejagata raya.,jokowi tuju tiga periode biar kadrun mahkluk dongok sejagata raya
64,0,2022-06-27T01:52:27.000Z,Anis Fauzan,@ekowboy2 @mohmahfudmd Presiden 3 periode atau perpanjang masa jabatan presiden itu wacana. Gimana ceritanya wacana bisa dituntut ?? Jangan bego lah..,presiden periode panjang jabat presiden wacana cerita wacana tuntut bodoh
65,0,2022-06-27T01:18:53.000Z,KARNI ILYAS CLUB,"@ekowboy2 LaNyalla: DPD RI palang pintu agar jangan sampai ada penambahan tiga periode jabatan presiden
#SayNoTo3Periode  #lanyalla 

https://t.co/M7zecPpedP",lanyalla dpd ri palang pintu tambah tiga periode jabat presiden saynotoperiode lanyalla httpstcomzecppedp
66,0,2022-06-27T02:10:10.000Z,My Putun,"@ekowboy2 Rasa-rasanya era ini kaya aji mumpung, sebelum habis masa jabatan, kapan lagi klu gk skrg yg korupsi, takut ganti presiden, sudah tak bs korupsi lagi",rasarasanya era kaya aji mumpung habis jabat korupsi takut ganti presiden korupsi
67,0,2022-06-26T23:04:12.000Z,Syafei,"@Flying_bird2702 @jokowi sabar om.. dia tersenyum lantaran mungkin yg diidam""kn tiga periode bakal terwujud",sabar om senyum lantar diidamkn tiga periode wujud
68,0,2022-06-16T08:51:44.000Z,Erlinda Oematan,@ganjarpranowo Bapak Ganjar Pranowo terhormat mauya mempora RI pak Bapak jadi presiden RI thn 2024 mauya betul mantan atlet dan mauya mempora RI thn 2024 masa jabatan Bapak mauya Spaso dia mantan pemain timnas sepakbola Indonesia dan masik sekarang masik aktif main sepakbola,ganjar pranowo hormat mauya pora ri presiden ri mauya mantan atlet mauya pora ri jabat mauya spaso mantan main tim nasional sepakbola indonesia masik masik aktif main sepakbola
69,0,2022-06-15T16:26:36.000Z,BIG WIN TERUS,@Gank_Of_Petojo @jokowi Sukurlah daripada 300ribu salam tiga periode supaya kami kalut.,sukurlah ribu salam tiga periode kalut
70,0,2022-06-17T01:52:52.000Z,ATR/BPN Kantah Kab. Sukabumi,"@GarengHallu Kalian rindu sby, kita rindu jokowi, bagaimana klu amandemen uu agar bisa tiga periode. Biar bisa sby dan jokowi berhadapan langsung. Iya kan.....",rindu sby rindu jokowi amandemen uu tiga periode sby jokowi hadap langsung iya
71,0,2022-06-16T02:36:33.000Z,sandra,"@GeiszChalifah Gerakan munafik dan bohong bohongan .. makin bernafsu jdi presiden, libas sana sini 3 bulan lagi masa jabatan",gera munafik bohong bohong nafsu presiden libas jabat
72,0,2022-06-16T00:58:32.000Z,BentengSumbar.com,@geloraco Awaaaaaas penundaan pemilu dan perpanjangan jabatan presiden tiga periode semakin menjadi-jadi,awaaaaaas tunda milu panjang jabat presiden tiga periode menjadijadi
73,0,2022-06-15T23:05:55.000Z,Dewo Wisnu,@geloraco Mana BuzzeRp Jokowi teriak tiga periode?,buzzerp jokowi teriak tiga periode
74,0,2022-06-22T16:24:03.000Z,Transendensi,"@geloraco Nasehat yg patut direnugi, beberapa peristiwa politik akhir akhir ini telah menjadi berita yg menarik bagi publik. Mulai dari isu 3 periode/perpanjangan jabatan presiden sampai dgn isu terbentuknya KIB, KIR dan rekomendasi partai Nasdem kpd tiga kandidat potensial.",nasehat patut direnugi peristiwa politik berita tarik publik isu periodeperpanjangan jabat presiden isu bentuk kib kir rekomendasi partai nasdem tiga kandidat potensial
75,0,2022-05-07T23:40:11.000Z,Mr. Corro (Doktor Honoris Kaosan),@geloraco Suruh baca lagi deh UU tentang Masa jabatan Presiden ...,suruh baca deh uu jabat presiden
76,0,2022-06-20T05:36:40.000Z,Titi Anggraini,"@Ghurem2 ☠
Menjelang berakhirnya masa jabatan Presiden tdk sedikit Pembantu Presiden yang meninggalkan Presiden seorg diri. Bgt pula jajaran disetiap levelnya. Mrk sibuk urus diri sendiri",jelang jabat presiden bantu presiden tinggal presiden seorg banget jajar tiap level sibuk urus
77,0,2022-06-15T22:21:30.000Z,KaWe,@golden_boy7788 Dan akan menjadi sekjen PBB setelah menyelesaikan masa jabatan Presiden RI ...sehat selalu pakdhe,sekjen pbb selesai jabat presiden ri sehat pakdhe
78,0,2022-06-15T22:17:01.000Z,maykel dudikov,"@GunRomli Setuju..... Jakarta Perlu Siap2 Ganti Gubernur, Karena masa jabatan Gubernur DKI sudah hampir habis dan Gubernur DKI saat ini Salah satu Kandidat terkuat Calon Presiden Indonesia",tuju jakarta ganti gubernur jabat gubernur dki habis gubernur dki salah kandidat kuat calon presiden indonesia
79,0,2022-06-09T00:04:28.000Z,kutu kupret,"@habiburokhman Apa nya yg dibela hak2 rakyat ???...bulan Juli infox ada UU tentang penghinaan , adanya ijin demo dl yg mau di sahkan ?,, mati lah demokrasin,, ditambah masa jabatan kepala daerah yg mau di habis dipilih langsung oleh Presiden ?...dmn bela rakyat ?,, dmn demokrasi ??",bela hak rakyat juli informasi uu hina izin demo sahkan mati demokrasin tambah jabat kepala daerah habis pilih langsung presiden mana bela rakyat mana demokrasi
80,0,2022-06-15T17:18:40.000Z,Nama Tidak Boleh Kosong,"@hasyimmah Kalo dungu dan plonga plongo seharusnya sadar diri, jgn mempertaruhkan nasib rakyat Indonesia terlebih berusaha menambah masa jabatan presiden dgn menunda pemilu. Ga apple to apple membandingkan presiden dgn rakyat, utk jd presiden butuh kompetensi. Jkw pjbt publik wajar dikritik",dungu plonga plongo sadar taruh nasib rakyat indonesia usaha tambah jabat presiden tunda milu apple apple banding presiden rakyat presiden butuh kompetensi jkw pjbt publik wajar kritik
81,0,2022-06-13T00:18:04.000Z,ICE,@hwang_renjun00 harus nungguin 5 tahun dulu kah? dah kayak masa jabatan presiden aja,nungguin kah jabat presiden
82,0,2022-06-15T15:26:15.000Z,mangib_com,"@IcanWafa Yo ndang, mosok nunggu Pak Jokowi tiga periode.",buru mosok nunggu jokowi tiga periode
83,0,2022-06-15T13:47:05.000Z,momoLuphie,"@ide2nesia ADA satu perbaikan mudah dilaksanakan: mengubah UU yg atur presiden boleh 2 masa jabatan 5 th bila terpilih lagi, diubah jadi: presiden hanya satu masa jabatan 7 ataukah 10 tahun. Itu mudah dijalankan BILA disepakati. Pada 2020, saya pikir itu akan dilaksanakan 2024, jebul: NOL.",baik mudah laksana ubah uu atur presiden jabat th pilih ubah presiden jabat mudah jalan pakat pikir laksana jebul nol
84,0,2022-06-26T15:28:45.000Z,Fadhil,"@ide2nesia Presiden hanya menjabat 1 kali 7-10 tahun itu JAUH lebih untung bagi bangsa &amp; negara dp boleh 2 masa jabatan 5 tahun. AMAT ANEH, bahwa tak dibicarakan politisi maupun netizen. Saya lalu simpulkan: ""Itulah garis nasib buruk milik bangsa Indonesia"". Hanya begitu.",presiden jabat kali untung bangsa negara dp jabat aneh bicara politis netizen simpul garis nasib buruk milik bangsa indonesia
85,0,2022-06-26T10:50:24.000Z,fajar online,@idextratime Jokowi tiga periode,jokowi tiga periode
86,0,2022-06-25T19:51:34.000Z,Hendra Abu Hanifah,@IpswichTown Masa jabatan presiden nambah,jabat presiden tambah
87,0,2022-06-26T06:15:53.000Z,Fusilat News,"@irenejuliency Makanya doi ga mencalonkan masa jabatan ke 2..nanti jadi presiden di akhir masa jabatan bukan cuma nama jalan yg diganti klo perlu nama pulau,nama provinsi,dasar negara sekalian.",doi calon jabat presiden jabat nama jalan ganti nama pulaunama provinsidasar negara
