VALUE SENTIMEN,tanggal,pengguna,isi teks
0,2022-06-29T13:46:02.000Z,Voidotid,"@alisyarief Gerindra dukung prabowo,projo dukung jokowi tiga periode..terus saja gitu 
Nanti prabowo kalah lagi gabung lagi jd mntrinya jokowi.."
0,2022-06-15T13:28:02.000Z,Nanta Riee,@alvinlie21 @jokowi @ZUL_Hasan @Kemendag Terus nanti semua NIK dan KTP dijadikan bahan gadai tiga periode....kaluan syetan semua...
0,2022-06-12T03:11:55.000Z,Kelana,"@aLy_Bima Jabatan presiden nya aja palsu, masa ngasih sertifikat tanah asli"
0,2022-06-29T06:16:18.000Z,∆,@anamkoplak @BERKARYA_NET Saya bantu jelaskan ya de. Selama Pak Harto 32 tahun menjabat karena belum ada undang-undang yang mengatur masa jabatan. Sekarang setelah reformasi masa jabatan presiden hanya 2 periode. Masih tidak mengerti?
0,2022-06-21T07:19:25.000Z,Jun_Pemulung,@Anggita_lung @garuda080 @jokowi Tidak ada wacana tiga periode
0,2022-06-09T09:58:21.000Z,Enal Mappirewa,@ARIFILIZER @jokowi Pantesan banyak yg pengen tiga periode mas..
0,2022-06-29T05:48:03.000Z,Jds_notobotosongo,"@bachrum_achmadi Disitulah letak kebodohan anda.

Beda kasus karena SBY itu owner partai dgn masa kerja unlimited.
Beda dgn jabatan presiden yg masa kerjanya limited."
0,2022-06-29T04:11:19.000Z,Kim Jong-Jan,"@BadruddinAl @september__26 @_ekokuntadhi Wkwkwk standar Inggris mau disamain sm rakyatnya Jokowi yg daya beli rendah, alangkah tololnya, makan tuh tiga periode !"
0,2022-06-29T02:23:33.000Z,wusss,"@BERKARYA_NET Jadi curiga nih, jgn-jgn yg nafsu sekali pingin pak de menjabat 3 periode, sekolahnya cuman nyampe pintu gerbang sekolah aja, jadi pas mata pelajaran PMP tentang masa jabatan presiden, mereka gak tau."
0,2022-06-29T01:48:21.000Z,PΛЩΛПG BΛПƬΣПG,@bernadetss kami bosaaaan dengan dramaaa ini. #JokowiTigaPeriode wkwkwkwkwkwk
0,2022-04-24T23:00:16.000Z,Bukan Arчα Duta™,"@blackrocksz @hafiadii @PartaiSocmed UU nomor berapa yg mengatur masa jabatan Presiden??

Emang ada??"
0,2022-06-28T22:59:28.000Z,dappoo,"@bobby_risakotta Aku masih tetep ingat.
Dulu saat masih jadi Gubernur ada yang omong.
Bila nanti jadi Presiden gampang mengatasi banjir Jakarta.
Dan ini sudah hampir habis masa jabatan periode ke 2.

Ternyata anda bilang Jakarta masih banjir.
Berarti anda nyindir beliau ya?"
0,2022-06-17T00:00:01.000Z,Kompasiana,"@bocahningrat00 @idhumhii @Dennysiregar7 trus kalo bener gtu, kenapa mesti repot2 nyinyir? toh udah beres bentar lg lepas masa jabatan. kemungkinan jd presiden tipis. Kok sampe segitunya pake hashtag segala"
0,2022-06-13T15:14:53.000Z,onom,"@Bpribas1 @PDemokrat @AgusYudhoyono @PKSejahtera @NasDem Fabrikasi isu hoax penundaan pemilu, perpanjangan masa jabatan dan tiga periode diungkap oposisi seolah sebagai penyebab, padahal itu sejatinya adalah justifikasi utk pergerakan. Pehobi demo, penikmat anarkisme dan provokator yg tidak memahami pentingnya hukum dalam berdemokrasi."
0,2022-06-12T14:18:16.000Z,Bekan," @PDemokrat @AgusYudhoyono @PKSejahtera @NasDem Kita bukan kelompok yang frustasi dan dendam dengan hasil kontestasi demokrasi; dan sejatinya anti demokrasi, C36namun memanfaatkan isu hoax penundaan pemilu, perpanjangan masa jabatan dan tiga periode sebagai kesempatan yang harus dimanfaatkan untuk melampiaskan syahwat kekuasaan.-"
0,2022-06-17T08:23:22.000Z,Kantahbpn,@BYTriantono @CNNIndonesia Ntar belum selesai masa jabatan nya ditinggal buat nyalon presiden... Like father like son
0,2022-06-28T16:22:08.000Z,Penjaga Jokowi,"@cakimiNOW Jadi nyaCapres cak????
Jokowi tiga periode Gak jadi Tah?????
Cc
@yennywahid https://t.co/dphEy6Rx17"
0,2022-06-26T00:05:11.000Z,kutu kupret,"@cakimiNOW Koar2 tiga periode jabatan presiden
Koar2 penundaan pemilu
Begitu timbul keributan cuma cengengesan...
DJANCOEK...!!!"
0,2022-06-23T00:07:55.000Z,kutu kupret,"@carsonrmnf Yhh masa jabatan presiden, di hatiku"
0,2022-06-28T06:12:36.000Z,#AuditKPU,"@CeciliaSuwanda1 @SantorinisSun Dia bilang masa jabatan presiden 3 X mencederai demokrasi,pdhl dia dulu berambisi menjadi wapres untuk ke 3 Xnya tp terhalang uu hingga uunya mau dirobah."
0,2022-06-20T07:47:04.000Z,Percek panntok,@CEMzNUK4bAAFAsb @AliNgabalinNew Omongan jusuf kalla itu sama aja jilad ludah sendiri. Setelah pak jokowi jdi presiden yg jdi wakil nya dia duluan yg lain ga di kasih..setelah masa jabatan nya abis dia mau nambah lg satu periode saking nafsu ny jdi wapres. Klu mau ngomong ngaca dulu
0,2022-06-18T00:17:14.000Z,Petani Tanpa Subsidi,"@ciadels @bebek_meong udah saatnya ci, masa lu jomblo kek masa jabatan presiden ci"
0,2022-06-20T00:04:09.000Z,kutu kupret,@Cintada16 @DivHumas_Polri Di sinilah dibutuhkan presiden seperti Jokowi. Sayang Jokowi tidk bisa tiga periode
0,2022-06-02T06:56:13.000Z,Jawa Pos Radar Solo,@CNNIndonesia Banyak yang berhalusinasi dan berprasangka negatif bilang pak Jokowi mau tiga periode . Kirain pak Jokowi itu orang bodoh mau maunya ikut pola pikir kalian yang penuh iri hati itu ? Beliau pasti akan berhenti dari hiruk pikuk politik di saat beliau di puncak masa sukses nya ...
0,2022-06-19T00:11:44.000Z,IntanAyuArimbi,@CNNIndonesia Hidup Jokowi tiga periode+perpanjangan masa jabatan.
0,2022-06-18T00:07:39.000Z,kutu kupret,"@CNNIndonesia Jika survei sudah keluar dan tingkat kepuasan publik meningkat terhadap Jokowi
Itu artinya Jokowi ingin tiga periode.
Jikalau tidak ingin tiga periode untuk apa survei itu di pesan....?

Logika sederhana"
0,2022-04-17T06:20:50.000Z,Himpunan Mahasiswa Jurusan Manajemen,"@CNNIndonesia Nikmatilah hidupmu yg semakin ribet, salam tiga periode, hidup jokowi pemimpin merakyat..."
0,2022-04-18T11:24:02.000Z,Voidotid,@CNNIndonesia Org yg dibahas cm masa jabatan kok. Gak ada hubungannya sama memperistri adik presiden
0,2022-06-17T23:34:02.000Z,MpokMae,"@CNNIndonesia Rakyat Wajib Sadar!
Gagasan Jokowi Tiga Periode adalah Gagasan Jokowi yang dikerjakan para bawahannya.
Dan kehendak ini tidak akan berhenti sampai batas tidak mungkin lagi mengajukan Jokowi sebagai Capres.
#Tolak3PeriodeJokowi"
0,2022-06-17T02:42:19.000Z,Ron's,@CNNIndonesia Sementara masih ada juga yg mengkampanyekan TIGA PERIODE untuk Jokowi https://t.co/ZkQHEfNIkN
0,2022-06-20T00:41:31.000Z,Kanwil BPN Papua,@collegemenfess Betah amat tiga periode. Pak Jokowi aja.. eh gajadi deh
0,2022-06-17T09:06:47.000Z,Kantah Kabupaten Bangka,"@Cupidlucky2 @Kimberley20101 Konyol banget tuh orang, dia nuduh Jokowi berambisi tiga periode, tapi secara gak sadar dia juga melihatkan sedang berambisi ingin berkuasa.  Sumpah sakit perut nahan tawa.."
0,2022-05-27T03:00:44.000Z,suaranasional,"@davidemeraldo @MauUlun @AnandaHalomoan1 Gue pake logika elo ya..

Kalo gitu nanti yg bayar utang indonesia yang dibuat di era jokowi siapa dong?

Utang indonesia bertambah 4000 triliun lebih di era jokowi

Bisa ga sebelom habis masa jabatan jokowi lunasi utang yg dia buat?

Jangan presiden selanjutnya yg lunasi

Gmana?"
0,2022-06-17T16:17:38.000Z,Aisyah Nur Khazanah,"@ddggmmbbkk Relawan cukup diam saja .
atau jangan jangan sudah disusupi kadrun?

Mungkinkah ada titipan dari pihak ke tiga untuk terus meramaikan issue 3 periode .
padahal dr Pakdhe JOkowi sendiri sudah jelas menyampaikan ""Tidak"" 

dan akan taat pada konstitusi."
0,2022-06-16T15:44:49.000Z,Elisa Koraag,"@democrazymedia Harus d tangkap nih ,karena melanggar konstitusi UU masa jabatan presiden ."
0,2022-06-16T13:44:51.000Z,Arjuna,"@democrazymedia Jokowi lebih pintar dari pak Amien contoh nya di saat kegaduhan opini politik menolak Tiga periode,  Presiden reshuffle kabinet dengan mengangkat orang yang mendukung Jokowi 3 periode untuk menjadi menteri apa ini bukan persiapan... untuk ke jalur itu ?"
0,2022-06-21T05:45:43.000Z,Arif Naleraja,"@democrazymedia Sinyal berarti Jokowi jadi tiga periode, wahhh ga bener nihh... mereka lempar opini sedangkan yang lain lagi mempersiapkan konsep 3 periode apa perlu pakai #menolaktigaperiode lagi nihh..."
0,2022-06-28T07:30:00.000Z,VOA Indonesia,"@Dennysiregar7 Saatnya pak Jokowi jadi negarawan,jangan mau di ojok2 tiga periode"
0,2022-06-28T03:10:57.000Z,gandi sihombing,"@detikcom Ada 2 poin inti :
1. Ketua dan Wakil MK hanya menjabat 5 tahun maksimal 2 periode (seperti masa jabatan presiden)
2. Masa tugas Hakim Konstitusi adalah maksimal 15 tahun &amp; tidak lebih dari usia 70 tahun.
Ingat 2 hal berbeda &amp; jangan salah persepsi mengarahkan ke asumsi bias."
0,2022-06-27T13:36:20.000Z,Tri Putri R. ♥️,@detikcom Biar gak kelamaan dari akhir masa jabatan. Siapa tau masih “laku” dan dilamar jadi presiden ke 2077
0,2022-06-24T02:57:33.000Z,Kureta ID,"@detikcom Kalau pejabat menghilangkan kehormatannya bebas dan dapat Bonus.
Kalau habis masa jabatan Presiden dan wakil presiden dimintai tanggungvjawabnya dan harus bertanggung jawab jika ada salah. Pantas kalau di gitukan
Harus sepadan Dong
Jangan bawah aja yang main dihukum. Atas bebas"
0,2022-06-27T09:12:16.000Z,Jambrutttty,"@detikcom Menuju tangan besi. 
Jokowi tiga periode"
0,2022-06-02T04:46:03.000Z,LaNyalla Academia {LNM},@detikcom sekalian terkait masa jabatan presiden
0,2022-06-27T06:31:21.000Z,fajar online,@Dimas_Wbw @olland72 @bachrum_achmadi Utamanya Kaitan IKN...menjadi Logis ketika bbrp pihak menghendaki Pak Jokowi tiga periode....
0,2022-06-13T08:05:14.000Z,populis_id,"@dioxysus Selama tiga periode? Ngalahin masa jabatan presiden, dong."
0,2022-06-26T07:16:03.000Z,Njuwanto Ndex Ndex,@ekowboy2 @mohmahfudmd Kalau sampai jokowi setuju mau tiga periode biarlah ak jadi kadrun mahkluk paling dongok sejagata raya.
0,2022-06-27T01:52:27.000Z,Anis Fauzan,@ekowboy2 @mohmahfudmd Presiden 3 periode atau perpanjang masa jabatan presiden itu wacana. Gimana ceritanya wacana bisa dituntut ?? Jangan bego lah..
0,2022-06-27T01:18:53.000Z,KARNI ILYAS CLUB,"@ekowboy2 LaNyalla: DPD RI palang pintu agar jangan sampai ada penambahan tiga periode jabatan presiden
#SayNoTo3Periode  #lanyalla 

https://t.co/M7zecPpedP"
0,2022-06-27T02:10:10.000Z,My Putun,"@ekowboy2 Rasa-rasanya era ini kaya aji mumpung, sebelum habis masa jabatan, kapan lagi klu gk skrg yg korupsi, takut ganti presiden, sudah tak bs korupsi lagi"
0,2022-06-26T23:04:12.000Z,Syafei,"@Flying_bird2702 @jokowi sabar om.. dia tersenyum lantaran mungkin yg diidam""kn tiga periode bakal terwujud"
0,2022-06-16T08:51:44.000Z,Erlinda Oematan,@ganjarpranowo Bapak Ganjar Pranowo terhormat mauya mempora RI pak Bapak jadi presiden RI thn 2024 mauya betul mantan atlet dan mauya mempora RI thn 2024 masa jabatan Bapak mauya Spaso dia mantan pemain timnas sepakbola Indonesia dan masik sekarang masik aktif main sepakbola
0,2022-06-15T16:26:36.000Z,BIG WIN TERUS,@Gank_Of_Petojo @jokowi Sukurlah daripada 300ribu salam tiga periode supaya kami kalut.
0,2022-06-17T01:52:52.000Z,ATR/BPN Kantah Kab. Sukabumi,"@GarengHallu Kalian rindu sby, kita rindu jokowi, bagaimana klu amandemen uu agar bisa tiga periode. Biar bisa sby dan jokowi berhadapan langsung. Iya kan....."
0,2022-06-16T02:36:33.000Z,sandra,"@GeiszChalifah Gerakan munafik dan bohong bohongan .. makin bernafsu jdi presiden, libas sana sini 3 bulan lagi masa jabatan"
0,2022-06-16T00:58:32.000Z,BentengSumbar.com,@geloraco Awaaaaaas penundaan pemilu dan perpanjangan jabatan presiden tiga periode semakin menjadi-jadi
0,2022-06-15T23:05:55.000Z,Dewo Wisnu,@geloraco Mana BuzzeRp Jokowi teriak tiga periode?
0,2022-06-22T16:24:03.000Z,Transendensi,"@geloraco Nasehat yg patut direnugi, beberapa peristiwa politik akhir akhir ini telah menjadi berita yg menarik bagi publik. Mulai dari isu 3 periode/perpanjangan jabatan presiden sampai dgn isu terbentuknya KIB, KIR dan rekomendasi partai Nasdem kpd tiga kandidat potensial."
0,2022-05-07T23:40:11.000Z,Mr. Corro (Doktor Honoris Kaosan),@geloraco Suruh baca lagi deh UU tentang Masa jabatan Presiden ...
0,2022-06-20T05:36:40.000Z,Titi Anggraini,"@Ghurem2 ☠
Menjelang berakhirnya masa jabatan Presiden tdk sedikit Pembantu Presiden yang meninggalkan Presiden seorg diri. Bgt pula jajaran disetiap levelnya. Mrk sibuk urus diri sendiri"
0,2022-06-15T22:21:30.000Z,KaWe,@golden_boy7788 Dan akan menjadi sekjen PBB setelah menyelesaikan masa jabatan Presiden RI ...sehat selalu pakdhe
0,2022-06-15T22:17:01.000Z,maykel dudikov,"@GunRomli Setuju..... Jakarta Perlu Siap2 Ganti Gubernur, Karena masa jabatan Gubernur DKI sudah hampir habis dan Gubernur DKI saat ini Salah satu Kandidat terkuat Calon Presiden Indonesia"
0,2022-06-09T00:04:28.000Z,kutu kupret,"@habiburokhman Apa nya yg dibela hak2 rakyat ???...bulan Juli infox ada UU tentang penghinaan , adanya ijin demo dl yg mau di sahkan ?,, mati lah demokrasin,, ditambah masa jabatan kepala daerah yg mau di habis dipilih langsung oleh Presiden ?...dmn bela rakyat ?,, dmn demokrasi ??"
0,2022-06-15T17:18:40.000Z,Nama Tidak Boleh Kosong,"@hasyimmah Kalo dungu dan plonga plongo seharusnya sadar diri, jgn mempertaruhkan nasib rakyat Indonesia terlebih berusaha menambah masa jabatan presiden dgn menunda pemilu. Ga apple to apple membandingkan presiden dgn rakyat, utk jd presiden butuh kompetensi. Jkw pjbt publik wajar dikritik"
0,2022-06-13T00:18:04.000Z,ICE,@hwang_renjun00 harus nungguin 5 tahun dulu kah? dah kayak masa jabatan presiden aja
0,2022-06-15T15:26:15.000Z,mangib_com,"@IcanWafa Yo ndang, mosok nunggu Pak Jokowi tiga periode."
0,2022-06-15T13:47:05.000Z,momoLuphie,"@ide2nesia ADA satu perbaikan mudah dilaksanakan: mengubah UU yg atur presiden boleh 2 masa jabatan 5 th bila terpilih lagi, diubah jadi: presiden hanya satu masa jabatan 7 ataukah 10 tahun. Itu mudah dijalankan BILA disepakati. Pada 2020, saya pikir itu akan dilaksanakan 2024, jebul: NOL."
0,2022-06-26T15:28:45.000Z,Fadhil,"@ide2nesia Presiden hanya menjabat 1 kali 7-10 tahun itu JAUH lebih untung bagi bangsa &amp; negara dp boleh 2 masa jabatan 5 tahun. AMAT ANEH, bahwa tak dibicarakan politisi maupun netizen. Saya lalu simpulkan: ""Itulah garis nasib buruk milik bangsa Indonesia"". Hanya begitu."
0,2022-06-26T10:50:24.000Z,fajar online,@idextratime Jokowi tiga periode
0,2022-06-25T19:51:34.000Z,Hendra Abu Hanifah,@IpswichTown Masa jabatan presiden nambah
0,2022-06-26T06:15:53.000Z,Fusilat News,"@irenejuliency Makanya doi ga mencalonkan masa jabatan ke 2..nanti jadi presiden di akhir masa jabatan bukan cuma nama jalan yg diganti klo perlu nama pulau,nama provinsi,dasar negara sekalian."
0,2022-06-15T10:24:56.000Z,️️્᭄͜͡⍣yuπiε͠ε⍣࿐͓̽⋆,"@ismei_w @bledugegrindo @RizkyRisksky @pengarang_sajak @PemudaTimur2 @cakimiNOW @DPP_PKB imin itu nol prestasi
cuma bisa bikin heboh seindo, usul jokowi tiga periode. biar apa coba??
hny orang tolol yg milih  imin."
0,2022-06-25T11:28:57.000Z,Keuangan News,@jeckowadiday @johnhendrik3 @ardy_tpm @BERKARYA_NET Apakah presiden sudah ada usaha mengamandemen undang² yg mengatur masa jabatan menjadi 3 periode??
0,2022-06-24T18:17:20.000Z,Keuangan News,@JendralMuslim @soloposdotcom @gibran_tweet BEM Soloraya tidak akan mengusung isu perpanjangan jabatan presiden hingga tiga periode dengan amandemen UUD.
0,2022-06-17T05:10:59.000Z,Kantah Kab. Indragiri Hulu,"@jokowi Kerennn, ini presiden gue, tiga periode"
0,2022-06-15T11:56:12.000Z,arief logiharto,@jokowi Ngapain dikumpulkan........minta dukungan tiga periode ya .......
0,2022-06-27T12:55:21.000Z,bang Zhack  ✊️,@jokowi Presiden nggak mampu mensejahterakan rakyatnya tapi bisa 2 periode. Bahkan minta  tiga periode. Ini membuat saya yg tidak cerdas jadi iri pingin jadi presiden
0,2022-06-16T13:40:50.000Z,Arjuna,"@jokowi Sayang undang2 membatasi masa jabatan presiden  hanya 2 x . Khusus untuk pak @jokowi sungguh suatu kerugian, jabatan beliau hanya  2 periode. Terutama transisi ibukota negara yg baru yg perlu dikawal kusus oleh bapak dan mengejar pemerataan pembangunan di indonesia yg berkeadilan"
0,2022-06-15T13:15:52.000Z,Sekretariat Negara,@jokowi tiga periode itu hanyalah dagelan politik yg sebetulnya sangat tidak lucu dan kampungan. Karena itu jelas menyalahi konstitusi dan @jokowi sendiri sudah jelas menolaknya.
0,2022-06-17T07:59:06.000Z,Suheri adi,@jokowi Yusril ada rencana busuk ingin memperpanjang masa jabatan presiden sampai 2027 alasan sesuwai dg konstitusi yusril kelompok HTI  th 2013 di Gelora bungksrno tampil dg mesra awas hati hati dg yusril
0,2022-06-15T12:29:37.000Z,Redhitya Istiawan,"@jun_pemulung Sdh banyak yg kena korban, oma irama, Ahmad Dani, termasuk Pak Jokowi yg tiga periode"
0,2022-06-26T10:31:41.000Z,Sadik Galib,"@KaredokLeunca__ @jokowi Selamat ulang tahun pakde , semoga panjang umur,  selalu sehat, diberi kekuatan, dan kesabaran untuk terus memimpin negri sampai masa jabatan selesai . 
semangat bapak presiden ❤❤❤"
0,2022-04-17T15:01:55.000Z,Tomi,"@Karsono12732862 @susipudjiastuti @jokowi Nah disini yg bikin bingung teriak² Pancasila tapi demokrasi Pancasila diganti demokrasi liberal rakyat langsung memilih GBHN dihapus &amp; masa jabatan presiden dibatasi 2 periode 
Bagaimana cara presiden mewujudkan alenia 4 pembukaan UUD 45 jika tanpa pedoman, tanpa tolok ukur"
0,2022-06-15T11:58:54.000Z,arief skie,"@Karsono12732862 @susipudjiastuti Bukan salah presiden @jokowi bro tapi sistem demokrasi liberal rakyat langsung memilih, GBHN dihapus &amp; masa jabatan presiden dibatasi 2 periode muncul oligarki yg merupakan kaki tangan penyandang dana"
0,2022-04-15T15:22:42.000Z,Indonesia Lawyers Club,"@KetumProDEMnew Sejumlah Relawan Joko Widodo kembali menggaungkan gerakan tiga periode untuk pemerintahan Presiden @jokowi dalam Pilpres 2024.
 
Simak selengkapnya di https://t.co/8PEixl6Qqf https://t.co/VGkWjwUxiN"
0,2022-06-21T11:15:09.000Z,Kaspito Gabriel Hutagalung,"@keuangannews_id Institusi penegak hukum harus bertindak.., jangan biarkan lagi adanya hembusan suara"" 3 periode/ perpanjangan masa jabatan Presiden. Sggh aneh kedengaran nya masalah itu itu aja, Rakyat Indonesia tau dari mana datangnya hembusan"" suara tsb.. yg membuat kita heran, *kok ga' malu*"
0,2022-06-29T17:51:02.000Z,Iqbal Masril Djanaik,"@keuangannews_id Rakyat akan selalu ingat AKAL BUSUK mereka ini !

Dalam Koalisi Indonesia Bersatu (KIB), Ketum PAN &amp; Ketum Golkar mencoba mengkhianati konstitusi dgn pegunduran Pemilu dan/atau perpanjangan masa jabatan presiden menjadi 3 periode !

Ingat orangnya, Ingat Partai nya !"
0,2022-06-15T11:12:28.000Z,Oposisi,"@keuangannews_id Sudah muak &amp; benci skl kita dengar tambah masa jabatan presiden, tambah periode... seolah oleh Negeri milik segelintir orang saja, ga adakah rasa malu mrk? Sudah begini terpuruk keadaan negeri ini eh malah berani ngotot minta tambah waktu... hutang luar negeri smkn hari smkn ber+"
0,2022-06-15T10:47:02.000Z,Sekretariat Kabinet,@Kimberley20101 Dalam kaos yg ditemukan ada tulisan WE LOVE JOKOWI TIGA PERIODE kira2 kaos tsb milik siapa ya
0,2022-06-15T10:23:10.000Z,꧁༺Hermant༻꧂,"@Kimberley20101 Emang sdh ada UUnya unt perubahan dr 2 periode menjadi 3 periode perasaan blm deh,klo gak salah ada kaos bertulisan We Love Jokowi tiga periode kaos iku sopo sing nggawe yo kok ujug2 ada,ahhh...angel angel"
0,2022-06-15T09:30:13.000Z,antaranews.com,@Kimi58486332 @jokowi @DPR_RI @mohmahfudmd Dengan segala upaya apapun menghalalkan segala cara oligarki cukong China harus Jokowi tiga periode agar mereka leluasa aman apabila Jokowi lengser ataupun diganti posisi mereka terancam kalkulasinya demikian maka dari situ musuh negara/rakyat adalah mereka. bukan radikal/radikul
0,2022-06-25T11:00:25.000Z,CNN Indonesia,"@Kiyai_MarufAmin Sehat terus pak @Kiyai_MarufAmin, Semoga mampu mengimbangi Bpk Presiden @jokowi hingga akhir masa jabatan"
0,2022-06-15T08:40:19.000Z,Change,@KompasTV Dia sendiri sibuk bermanuver memperpanjang masa jabatan dan nambah jd tiga periode.
0,2022-06-17T00:04:47.000Z,kutu kupret,@KompasTV Good job hbs masa jabatan presiden jadi sekjend PBB
0,2022-06-15T22:57:07.000Z,Rani soraya,@KompasTV Wah aroma perpanjangan masa jabatan presiden makin tercium.
0,2022-06-15T09:03:05.000Z,Sekretariat Kabinet,@KompasTV Zulhas diangkat jadi Mendag baru agar tidak lagi bikin gaduh soal pilpres 2024 dan perpanjangan masa jabatan presiden Jokowi
0,2022-06-23T09:39:01.000Z,DHL,"@korantempo Pertanyaan ny, apakah mega proyek ini akan selesai sebelum presiden jokowi berakhir masa jabatan ny? Dengan molor ny waktu dan banyak apbn negara yg di gunakan, apakah kontraktor tidak di kenakan sangsi dan denda karena keterlambatan ini? @korantempo mohon di jawab"
0,2022-06-10T10:50:57.000Z,Media Indonesia,@kurawa Petugas partai sdg laporan kalo presiden indonesia ngurus minyak goreng aja gak bisa malah minta tambah masa jabatan ...
0,2022-06-14T11:13:57.000Z,Muslimin B. Putra,"@lutfiazachra2 @Telik1112 @RamliRizal Aq ga bilang jokowi sbg Presiden bukan takdir
Qadarullah ya taqdir, ap Taqdir Pak jokowi itu bs tiga periode, kan blm tahu, yg namanya taqdir kita tahu setelah terjadi, tdk ada yg tahu takdir yg belum dan akn terjadi boss
Aq jg ga setuju presiden dijatuhkan sblm hbs masa jabatan"
